Datetime,Water Level (m)
2024-04-07 12:00:00,-1.6966624
2024-04-07 13:00:00,-0.82951325
2024-04-07 14:00:00,0.14042304
2024-04-07 15:00:00,1.0298727
2024-04-07 16:00:00,1.6700106
2024-04-07 17:00:00,1.8434556
2024-04-07 18:00:00,1.564811
2024-04-07 19:00:00,0.9070733
2024-04-07 20:00:00,-0.20516132
2024-04-07 21:00:00,-1.3083838
2024-04-07 22:00:00,-2.1366537
2024-04-07 23:00:00,-2.5551417
2024-04-08 00:00:00,-2.295027
2024-04-08 01:00:00,-1.2756242
2024-04-08 02:00:00,-0.16794811
2024-04-08 03:00:00,0.7797833
2024-04-08 04:00:00,1.5489407
2024-04-08 05:00:00,1.932196
2024-04-08 06:00:00,1.78173
2024-04-08 07:00:00,1.227653
2024-04-08 08:00:00,0.33641928
2024-04-08 09:00:00,-0.6814487
2024-04-08 10:00:00,-1.630179
2024-04-08 11:00:00,-2.309916
2024-04-08 12:00:00,-2.467295
2024-04-08 13:00:00,-1.7765082
2024-04-08 14:00:00,-0.56034106
2024-04-08 15:00:00,0.48952597
2024-04-08 16:00:00,1.3234823
2024-04-08 17:00:00,1.841896
2024-04-08 18:00:00,1.7993315
2024-04-08 19:00:00,1.2772307
2024-04-08 20:00:00,0.40917116
2024-04-08 21:00:00,-0.5845618
2024-04-08 22:00:00,-1.5841432
2024-04-08 23:00:00,-2.3391817
2024-04-09 00:00:00,-2.656789
2024-04-09 01:00:00,-2.1530802
2024-04-09 02:00:00,-0.9407066
2024-04-09 03:00:00,0.22072186
2024-04-09 04:00:00,1.2004726
2024-04-09 05:00:00,1.8965406
2024-04-09 06:00:00,2.0614524
2024-04-09 07:00:00,1.6925234
2024-04-09 08:00:00,0.935064
2024-04-09 09:00:00,-0.03423703
2024-04-09 10:00:00,-1.056341
2024-04-09 11:00:00,-1.9112239
2024-04-09 12:00:00,-2.4341826
2024-04-09 13:00:00,-2.3129115
2024-04-09 14:00:00,-1.353572
2024-04-09 15:00:00,-0.19311252
2024-04-09 16:00:00,0.78107834
2024-04-09 17:00:00,1.5522805
2024-04-09 18:00:00,1.929401
2024-04-09 19:00:00,1.7017237
2024-04-09 20:00:00,1.0135742
2024-04-09 21:00:00,0.04179534
2024-04-09 22:00:00,-0.9842564
2024-04-09 23:00:00,-1.8934017
2024-04-10 00:00:00,-2.49723
2024-04-10 01:00:00,-2.5087528
2024-04-10 02:00:00,-1.6386228
2024-04-10 03:00:00,-0.43954813
2024-04-10 04:00:00,0.5935628
2024-04-10 05:00:00,1.4736301
2024-04-10 06:00:00,2.0265155
2024-04-10 07:00:00,1.9957161
2024-04-10 08:00:00,1.5088644
2024-04-10 09:00:00,0.6699168
2024-04-10 10:00:00,-0.316451
2024-04-10 11:00:00,-1.3048862
2024-04-10 12:00:00,-2.07966
2024-04-10 13:00:00,-2.4331622
2024-04-10 14:00:00,-2.0488088
2024-04-10 15:00:00,-0.9656348
2024-04-10 16:00:00,0.10453431
2024-04-10 17:00:00,0.9680436
2024-04-10 18:00:00,1.5757035
